model,metric,mean,std,ci_low,ci_high,n
elastic,roc_auc,0.9190091446421604,0.038856636043045005,0.8357230392156864,0.983202261167625,200
elastic,accuracy,0.8067052175477051,0.05739284654961498,0.6857142857142857,0.9193834459459461,200
svm,roc_auc,0.9111412151945579,0.037765115514400274,0.8379289772727273,0.9802921826625387,200
svm,accuracy,0.4921416266596087,0.12604350521605062,0.34285714285714286,0.8616421568627453,200
trees,roc_auc,0.9197820241389405,0.04189223688312973,0.8287161044973546,0.9876455845496093,200
trees,accuracy,0.8298937248774375,0.057808416062599205,0.7104460847240052,0.9428968253968254,200
